pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0093+CH0094,reversal,表层肌肉自然流转着的一丝丝酥麻感。这就是九江铁索功的内气，它不走内腑，而是就在皮肤和表层的肌肉里游动循环，形成一张如同铁索一样的缠绕在身体表面的网络，遇到外在打击时，特别是对钝器的防护，非常有效。 而熊搏手是对锐器的防护不错，两者正好结合。,crisis,间四面都是石墙，中间摆了一个结实的木头人偶，上边扎捆了一些稻草谷杆。 “这是铿木，硬度很高，也坚韧，你试试。”段长老指着木头人偶道。“你要是能砍断，我倒贴你二十两！” 路胜握着两把杀猪刀，走到人偶面前，嘴角微微勾起一丝狰狞笑容。 “当真？”
CH0095+CH0096,crisis,的。而你们偷学的只是一个变招而已，这是只适用于一些特殊情况才能用。”路胜微笑解释道。 “原来如此……”两姐妹顿时都露出恍然之色。一直以来，她们都感觉自己练习的招式有些问题，却不知道是什么地方出了问题。现在一听路胜解释，顿时都察觉了问题所在。,crisis,里。这庄子里还养了尸魄和一大帮子鬼物。 现在被甄家人扫荡后，或许能找到一些阴气还没散掉的东西物事。 嘭的一脚，踹开主卧房木门，路胜缓步捂着鼻子躲避灰尘，走进卧房。 地上横七竖八的躺了不少空衣服，还有很多像是骨灰一样的灰白粉末，撒得到处都是。
CH0097+CH0098,crisis,牙切齿道。她不相信普通人会有能力将她从妖灵附体状态下打散出来。 “我就是个普通人，你倒是说说看你是什么人？这个什么灵妖附体是个什么玩意。”路胜第一次见到卓文宇这样的异类，感觉很有兴趣。 “你不知道我们？”卓文宇顿时一怔，满面带血不可思议道。,crisis,显感觉到，在修改器里的所有方框中的武学，都可以进行推演融合。 他第一时间看向赤极心法。 “赤极心法：第七层。特效：血网。强化火毒，六重震荡，强化引燃。”后面果然多了一个可以推演的按钮。 深吸一口气，路胜满怀期待，意念在那个按钮上轻轻按下去。
CH0099+CH0100,crisis,自己见过一次面的陌生人，居然丝毫没有送自己报官的意思，要知道他现在身体亏空，虚弱无比，又醉得浑身无力，若是真要报官，现在便是最好时机，抓起他直接去衙门就行，那里还贴着通缉他的海报公示。 可路胜居然没这么做，而是说有什么能帮得上忙的，尽管提。,reward,究没有继续倒出来。 “七个瓷瓶的毒素，我都能完全抵抗住。快了……快了……还差一点点……”路胜心头有些澎湃，满头汗水。 估计再提升一层内功，他就能突破达到拘力层次。 这虽然是世家和怪异们最低的基础层次，但却是这个世界凡人和超凡之间最大的界限。
CH0101+CH0102,question,交换了下下次新的交易时间、地点，然后卓文宇匆匆离开。路胜也迅速朝着来路返回。 他需要再去一趟老帮主那里，必须仔细从洪明资那里询问清楚，最近甄家的情况到底如何。 最近红坊和甄家的局势越来越扑朔迷离。特别是甄家的动作似乎有些太安静了，有些不对。,reversal,提的顶点。 他打算将能找到的所有硬功，若是条件允许，全部融合为一体，推演出一门最强的硬功。 同时那些冲突性质的，最好是把能修炼的都修了。反正有修改器在身，硬功这种东西怎么叠加都可以。 只要有足够阴气，他就能源源不断的修成各式各样的不同硬功。
CH0103+CH0104,crisis,人。引得了当地乡绅的注意。在自己调查无果之下，乡绅迅速上报，层层传递，失踪的人越来越多，最后才到了沿山城。 “一般这类失踪事件性质，都是极其恶劣了才会传到沿山城，一般的案子，下面的人也都能自己处理。只有实在没办法才会层层上报。”宁三低声道。,crisis,打死副帮主的女儿了，也因此凶名远播。 匆匆推开小花园的铁门，路胜一眼便看到站在黄色灯笼下的洪明资。 这位当下的赤鲸帮帮主，赤日门门主，回过头两眼木然，整个人仿佛老了许多许多。 他开口的第一句话，便让路胜勃然变色。 “师弟，甄家……逃了……”
CH0105+CH0106,crisis,……小的也不清楚，不过好像说是，召集令大火点燃后，不小心蔓延到了总部房屋。”那侍卫顿时停顿了下，小声道，“听说连门主在大火里被活活烧死……尸骨都分不清，和房屋木梁灰什么的混在一起，惨得不行……”他口音似乎不是本地沿山人，尾音带着浓浓的上翘。,reversal,妾室身份……日后的生活绝对艰难无比。 想到这，陈道早终究叹了口气。 “去吧，去吧，不过千万别意气用事……不要冲动，否则我陈家真的……”他叹气道，转身离开，不再多言。 陈芸熙看着父亲离开走出房门，她终于再也忍不住，蹲下身，眼泪顺着脸颊滑下来。
CH0107+CH0108,crisis,般砸下去。 啊！啊啊！！！ 王顺勇当场被打倒在地，被一群壮汉轮着狂揍。 边上陈家陈道早和陈芸熙都看傻了，还有一众的家丁和护院，想要上去拉架，可对方分出几个人来，便将陈家所谓的高手压住。 通力层次的武师们一看这架势，更是头也不敢抬，默不作声。,crisis,总兵的背景。 对于现在的赤鲸帮来说，凡俗的力量，或许有点用，但比起红坊根本不值一提。 凝神级别的高手，一旦动手，没有强力军弩之类的大杀器，百八十人根本挡不住。更何况路胜这般的赤鲸帮大佬，手底下上千帮众，都是按照军事化训练，背后还有世家背景。
CH0109+CH0110,crisis,强的通意和凝神层面了。除非围堵在密室内出不去，活活闷死还差不多。” “那不可能！”张远东摇头，“别人或许不清楚，但我曾和变化门主交过手，他身上暗藏了一把极锋利的利器短匕，就藏在其剑柄内，削金断铁轻而易举，有什么密室能挡得住这样的神兵利器？”,crisis,挤压捏成一小块。 站在院子中央良久，路胜睁开眼，看着自己瘦下的双手，嘴角微微勾起。 嘭！！ 他猛地一捏手掌，五指瞬间捏爆空气，发出闷雷一般的炸响。 看着宛如金铁的双手，感受着身上远比之前强大太多太多的恐怖力量，路胜终于忍不住，仰天狂笑起来。
CH0111+CH0112,reward,眼，一概略过。 “哦，是赤鲸帮的路外首到了。”知府李真意微笑道，“来人，看座。” 路胜大踏步走进大堂，在左侧空出来的中间一张座椅上坐下。 他代表的是赤鲸帮，而赤鲸帮乃是北地黑灰两道的龙头，所以他的位置自然不会低。但也不会太高，毕竟不是官身。,open,了…… 整个大殿上的众人如同被捏着喉咙一般，瞬间静寂无声。 嘻嘻嘻嘻…… 一阵女子尖锐怪异的笑声，从黑漆漆的门缝处传出来。 啪。 路胜伸手抓住司仪手掌，将火红色的肩甲，稳稳按在自己肩上。 看着门缝处缓缓踩进来的一只红鞋，他缓缓从宝座上起身。
CH0113+CH0114,reversal,”陈鹰张了张嘴，望着路胜，勉强压住震动的心神，沉声问。 “外面可不止有这么一个鬼物。”路胜活动了下身体，转身朝着大门外走U去。 “走吧，出去看看。” 他双手按在大门上，狠狠一推。 隆…… 铁质的大门缓缓被推动，露出外面一片宽阔的灰褐色甲板。,crisis,前的狼藉一片，心头若有所思。 “甄家既然放弃了我们，我们也不用讲什么仁义忠心，师兄，陈鹰，麻烦你们去安排下吧，明日我们去拜访城内的其他势力代表。重新打通一条路。” 在红坊一时间无法覆灭赤鲸的前提下，路胜为赤鲸帮争得了一份可能扭转局面的机会。
CH0115+CH0116,question,话，便轻轻一跃，转眼便消失在亭外。 路胜视线才从石牌上挪开，便看不到上阳九礼的身影了。 “路帮主果真不凡。”上阳九礼一走，萧红叶便笑着对路胜道。“居然在什么都不清楚的情况下，做出了对赤鲸帮最好的选择。” “哦？萧员外何出此言？”路胜挑眉道。,crisis,言极是，是该清点一下帮中情况。”路胜点头。 只等上阳九礼确定了红坊那边的情况，他便打算好好掌握整个赤鲸帮，处理善后之事，这趟虽然被错认成世家子弟血脉，但却得知了不少隐秘情报，他需要好好消化一下。 最珍贵的，便是对自己在世家子弟中的实力定位。
CH0117+CH0118,question,的都是极少，价格暴跌，便被路家大量收购。而赤鲸帮需要药材缺口很大，路胜便暗中稍微分润了些生意给路家，算是发展不错。 路胜乘着马车在城中行进了一阵后，很快回到路府。 马上便有小厮上前迎接。 “大公子回来了啊！” “家主呢？”路胜下车随口问道。,crisis,最重要的是，凌峰死就死了，可死得太快，以至于他们根本没看清楚路胜的底细，就完了。 “路帮主……当真是北地第一高手，嚯嚯嚯……”萧红叶怪笑几声，打破尴尬。 “这话说说就行，真要传出去不被笑掉大牙。”路胜谦虚道，收回手，在凌峰衣服上擦了擦污物。
CH0119+CH0120,crisis,。” “那便多谢老哥了。”路胜抱拳笑道。 他回想起当初看到的甄意，脑袋都被划开成两块，居然还不死，还能恢复。又联想起之前见到的伞女和凌峰。 他交手过的拘层次的对手，只有三个，但前两者都近乎不死。凌峰却是一下便被干掉，他也有些摸不清其中规律。,crisis,。”玉莲子松了口气。“这案子，我看到时也有些犹豫，不知道该划分到哪一级。” “给我看看。”路胜淡淡道。 玉莲子上前，很快在案台上找出了一份折叠好的黄纸，轻轻展开。 路胜接过来看了看，纸面上开头的三个词，顿时印入眼中。 “茶帮，药师，琉璃镜”
CH0121+CH0122,crisis,径牌号。 没走出多远，两人拐了两次街道，便看到有戴着白色头巾的精瘦汉子迎上来。 “敢问可是赤鲸帮使者大驾？”一个国字脸的汉子上前恭声问。 “你们是？”徐吹问。 “我们是茶帮董琪大小姐派来迎接上使的专人，还请上使往这边走。”这汉子笑脸相迎道。,crisis,给赤鲸帮送了信。 就这等情形下，自然不可能有药师房间的钥匙。 “那就等那人来了来。”路胜自然不会只听董琪的一面之词，这种调查，自然是要多方考证才行。否则万一董琪也有问题，栽赃陷害药师或者帮中其他人，他不考证就直接动手，那不是完全弄错对象了。
CH0123+CH0124,question,吸困难。 “走，回去看看那镜子。”路胜站起身，将茶水一饮而尽。 三人一起朝书房方向走去。 书房门口董琪安排了两个汉子守着，不让任何人靠近。看到他们过来，两人赶紧点头哈腰的凑上来。 “上使，大小姐，你们来了啊，东西就在里面，绝对没人进去过。”,crisis,折断，镜面嘭的一下碎裂被砸穿，整个上百斤的镜子底座腾空到飞起来，狠狠撞在后面墙上。 大量炽热内气涌入镜座，一道幽蓝影子立马从镜面被砸飞出来，在半空中惨叫一声，想朝外逃窜。 但马上被路胜当空一刀追上去。 噗嗤！ 影子彻底炸开，消失得无影无踪。
CH0125+CH0126,crisis,生生，柔柔弱弱的女孩声音慢慢响起。 “进去吧……进了这面镜子，就会永远有人陪你玩了。”那声音低沉中带着一丝诱惑。 轰！！！ 刹那间一大团红光炸开，路胜周围方圆十数米，彻底化为一片火海。大量稻草堆被点燃，火焰噼啪燃烧起来，浓烟滚滚，灰屑乱飞。,reward,很清楚，越是这样的乡下小地方，天高皇帝远，可以抠的利润远比管辖得严苛的大城多得多。像这般不出名但有钱的帮派，在北地都不在少数，更别说其余地区。 特别是茶帮还背靠飞廉军，军中也有监察司高手，算是白风老道的统辖，安全性上不比赤鲸帮这边的商路差。
CH0127+CH0128,reversal,，东西放下，你的意思，我知道了。”主祭淡淡道。 “多谢主祭。”萧红叶赶紧低头弯腰行了一礼，然后将东西交给黑老，这才缓缓离开。 等到他出了正堂，不多时离开大门外。 白静才扭头看向主祭。 “大人，这萧红叶还是很识体嘛，我们一来便主动上门交权。”,reward,，我要换这门千树焚心掌。应该正好和我的赤极心法相性相合。”路胜将册子还给李顺溪。 “其实还有功夫可以提供，不过这几门算是最便宜的，其余很多都需要严苛的修习条件。”李顺溪回道，“既然如此，那么我们约好时间地点，到期交换。” “好！”路胜点头。
CH0129+CH0130,crisis,似乎感应到了什么眼神终于微变，正色看向路胜。 “来之前便听说路帮主一身玄功威猛无敌，乃北地第一高手，今日倒是想见识见识。” “等我打死你，就不会再想见识了。”路胜手臂急速膨胀起来，破心掌力被赤极九煞功的内气催运，周围迅速萦绕起丝丝灼烧内气。,crisis,能在其体内不断挤压越来越多，越来越厚。 巨大的压力使得路胜浑身血管慢慢鼓起，如同一根根青紫色钢索缠在身上。 剧烈的痛苦让路胜双目睁大，浑身发颤。汗水大片大片的渗出又迅速蒸发。 他两侧太阳穴上的肌肉，此时居然也慢慢鼓起来，如同突出的两只犄角。
CH0131+CH0132,crisis, “总会有契机的。”秦无面微微摇头。“不过赤鲸帮内我们武盟的那位老前辈，顺溪你这趟去是否见到了？” 李顺溪微微点头：“见到了，那位前辈没和我说话，只是给了我一个圆筒，让我回来再打开。” 他缓缓从袖中，将一个拳头粗细的竹筒取出来，递给秦无面。,reward,能容纳更多更强的内气。我必须未雨绸缪，先行收集硬功起来。以防以后液化内气也容纳不下时，身体无法得到提升。再度出现修为停滞情况。” “准备完毕。” “准备完毕！” “准备完毕！” 牛车边上的帮众此时纷纷出声，路胜见状，缓缓扬起手。 “出发！”
CH0133+CH0134,crisis,功把一个地域使活活砍死？？！”钟云袖在一旁不敢置信道。 “此人才是天才！古今往来没有人能超越的最强天才！！这世上居然真的能有人将如此多的硬功全部推演至大成！！？哈哈哈哈！！武道有望！武道有望！！”张武牙几乎有些手舞足蹈起来。兴奋得无以复加。,crisis,膜的层次，无论怎么毁掉他们的肉身，都能迅速恢复。 而破坏黑膜，除了用更强的黑膜抵消，便再没他法。 黑膜，并不只是表面的那层防御毒性层，它更多的是贯穿整个身体每一处的一种无形之力，不破坏掉这股力量，无论怎么杀，都只是在破坏表层，核心依旧还在。
CH0135+CH0136,crisis,被撕开，一双青灰色大手稳稳架住熟铜棍。手棍相接处炸开一层薄薄白灰，彻底将周围土石炸散。 “正好我也看你不顺眼很久了……来吧，好好厮杀一场！”路胜巨大狰狞的阳极态身躯缓缓显露出来，高达近三米的他，和主祭两人面对面站立，全然都没了人类正常模样。,crisis,入静室关闭大门后，终于再也忍不住。 嘭！ 他两眼一黑，往前扑倒在地。 他太累了。 也太痛了。 引爆了一滴气液后，他又引爆了剩余的两滴气液，一起爆开。就算是硬功大成的肉身，也终于承受不住，再加上和主祭的疯狂厮杀，能撑到现在回来已经是个奇迹了。
CH0137+CH0138,reversal,。 唰的一下，修改器的淡蓝方框浮现在路胜眼前。 他视线迅速落在了其中的阴阳玉鹤功上。 这一看，他赫然才发现，自己的阴阳玉鹤功居然只有四层。到现在为止，赤极九煞功都已经内气液化，到了第九层，而这门最初他极其倚重的养生内功集合体，居然才第四层。,crisis,下的部分阴气提升，看来阳气过重的弊端硬功得到缓解了。之后只要一直同步提高阴阳玉鹤宝瓶气就行。”他暂时不去多想，先恢复伤势要紧。他可不相信，无忧府死了这么多主力，会一点动静也没。 想必很快便会有人发现他在晚上前往东山山脚的动作，派人前来问询。
CH0139+CH0140,crisis,里动手，以对方的性子，怕是要大开杀戒，到时候整个赤鲸帮都可能彻底毁于一旦。他现在的实力可挡不住此人。 “此事，我确实不知道，不过此地不是说话的地方，你我换个地儿细说。”路胜低沉道，黑老一进门只伤不杀，显然还没打算彻底和上阳家翻脸。 “好。”,crisis,！以后再有这等物事，一定要第一时间记得上交！” “大人喜欢就好！”路胜微笑道。“无忧府那边……” “我突破在即，区区一个无忧府，给他们十个胆子动手，他们敢吗？”上阳九礼随意摆摆手。一副完全不顾上阳家大局的神色。 不过路胜就喜欢这种不顾大局。
CH0141+CH0142,reversal,陈芸熙似乎精心打扮过，一身翠绿的及膝裙。裙摆两侧有细缝，透过缝隙，可以看到一双象牙般细腻逛街的修长双腿，就好似两片布片一前一后挂在身上，只是遮住了最基本的关键部位。 上身黑发披肩，朱玉发簪，一对月白珍珠耳坠微微摇晃，越发的衬托出她清丽秀美。,crisis,是请他为李顺溪出面作证，证明他不是凶手。如果可以的话，还请他在有机会时，帮衬一二。李顺溪唯一值得信任的朋友，就只有他了。 但路胜却是从这件事中，闻到了一丝不同寻常的气味。 他缓缓合上信纸，双手一撮，针刺气迸发，瞬间便将信纸搓成一团极细粉末。
CH0143+CH0144,crisis,次的管理学，果真是人老成精。 “交流。”洪明资笑了起来，“我们以前都是找一些其他帮派门派进行交流会武。多找几个，经历得多了，比武多了，他们就能明白，我赤鲸帮不是弱者。不光不弱，而且很强，信心总是来自于成功和胜利，不是吗？”他冲路胜眨了眨眼。,question,中点出了一票高手，一共三十人，都是帮中精锐，长老和新晋的几位外务使，还有从各地舵主副舵主，九鱼层次选拔出来的高手，最差的也是通力顶峰，之后是四位通意层次的高层。 辎重礼物什么的，近卫弟子之类，加起来，足足组了一支小型的商队规模，前往白河帮。
CH0145+CH0146,reversal,气息，路胜也说不清楚是什么。但让他也有些不舒服。 正仔细观察着其他人，忽然路胜看到一名身穿紧身猎装的白色短裙少女，急匆匆的从侧门跑出来，想要朝白镇明过来，却被边上的近卫拦住。 近卫苦笑着和女孩说了些什么，然后又迅速过来在白镇明耳边小声转述。,reversal,……该走了……”外面不知不觉已经彻底黑了下来，白秋玲不知道自己在暗室里呆了多久。 但知道一旦被爹爹发觉自己进了密室，肯定会大发雷霆。 她吐了吐舌头。 “最后最后，最后再看一样……” 她不舍的扫视一遍暗室，目光很快便被一副很大很大的画卷吸引。
CH0147+CH0148,reward,茶帮的人就是这般，黑眼圈，严重休息不足的样子。 “说起来，现在多少时间了？” 徐吹一愣，随即面色微变。 “前几日每隔固定时间就会有更夫打更经过，但是现在一直没听到。” “或许是出了点问题。”路胜缓缓站起身，活动了下筋骨。“走吧，出去看看。”,crisis,外围，地上正仰躺着的一个帮中汉子，胸前全是血。 “找死！！” 路胜咆哮一声，身形陡然射出。 轰！！！ 出入口的木质大门直接炸开，四分五裂，转瞬间路胜的身影便消失在门内。 “帮主！！”徐吹等人这才反应过来，急忙追出大门，却已经无法找到方向了。
CH0149+CH0150,crisis,火起，抽出大砍刀，一刀狠狠砍在身侧山壁上。 轰！！！ 大量碎石被砸得炸开滚落，不少赤鲸帮众被石头打得头破血流，惊叫起来。 “一群废物！都给老子起来！！”路胜怒吼一声。他可不信什么神仙佛陀。 帮众被吓得哆哆嗦嗦起身，但动作还是不由自主的颤抖。,crisis,力接收一部分。另外，你杀了无忧府主祭，若是红坊没发现还好，若是被发现……”李顺溪没说下去。“路兄可前往中原，找一个叫青纵谷的地方。” 路胜微微点头，接过纸，上边是张地图。 “这还是武盟的地形图，路兄可按图找到他们隐居的山谷。”李顺溪低声道。
CH0151+CH0152,question,边上的叶凌墨沉声道：“王爷，现在的当务之急，是先找到是什么人在针对我无忧府。两位主祭失踪，甚至极可能身陨，这样的损失，在近十年来已经是极少了。主祭没了我们可以再招，但耽误了法祭，就问题极大了。” “不错，现在正是关键时期……”昭容也赞同道。,reversal,然起身，赶紧也跟上去。 另外又有好几个小辈都起身，跟着路胜一起离席。 如今的路胜是路家主心骨，自然不少人想要攀附。 而老一辈的人则是纷纷和路全安靠拢，他们的辈分去讨好路胜自然不合适，但和路全安走得近一些也没人会说闲话。儿子总不可能不认老子。
CH0153+CH0154,reversal, 杨云度跌落地上，脸色颓然，被困在大网里动弹不得，委顿在地。 上青龙走过去忍不住踹了他一脚。“这网是用过了油的千丝绳编成，连海鲨都能直接网出来，还怕你挣脱？？带走！” 一群人在杨家人不知道如何反应的情况下，将杨云度层层捆绑，押着朝路家去了。,reward,动疯狂的提升和调节着路胜的肉身。 如果是普通的武者，要想达到这种程度，需要把这些武学一门门的全部推演突破极限，之后还要融合在一起，同一时间晋级，对肉身产生冲击，才能达到这般效果。 而没有修改器，就算是路胜自己，也至少需要上百年才有可能实现。
CH0155+CH0156,reversal,聚的经脉网络，之前的强化抗毒，高速自愈，渡气，同化，还有最关键的镇压阴阳等等特效，都凝固到了这个特效里。 “这完全是避开了原来的拥挤公路，自己建立交桥啊！” 搞懂这东西的功能后，路胜满脸惊叹。 这修改器居然把立交桥的创意，用在了内气运转上。,reversal,，女子全身露出的皮肤，都呈现出水浸泡过很久后的苍白。 “这么说，你追来是想要和我打一场？”女子下巴微微扬起，眉心紧皱，一头钢针般的白色短发被风吹得不断侧扬。 “你觉得呢？红坊主。” 另一个一身漆黑，手里握着巨大狼牙棒的人影，出现在她的对面。
CH0157+CH0158,reward,阳家是什么反应。”叶凌墨微笑道。 以他的实力，踏入如今的北地，世家撤离，地域空虚，基本上是无人可挡。 此时不正是重建卷人府的最好机会？ 只要能把这趟差事办得漂漂亮亮，让无忧王也无话可说，到时候申请镇压北地，固守一隅，得到资源，也是理所当然。,crisis,来红坊的，但谁叫你看到了不该看的东西？” 他一直暂时留着伞女没杀她，不过是为了调查情报，同时验证一下自己在闭关时产生的一个猜想。反正赤极九煞功的恐怖阳性力量，瞬间就能烧死对方。阴阳平衡后，他的速度也大增，远不是之前那般笨拙，也不惧对方逃离。
CH0159+CH0160,crisis,檀木长盒子，还有一块类似藏宝图的古旧卷轴。 三样东西都有阴气，路胜也是按照这个标准搜刮的，整个红坊里也就这三样阴气浓烈，其余的太过匆忙没仔细看，或许也有的有，不过没这三样显眼。 路胜拿起第一件小铃铛。“你来告诉我，这个是什么？”他看向伞女。,crisis,孕育改造，一旦改造完毕，必将整体实力上升一个台阶。 只是这个改造速度太慢。在这之前，他的全部实力依旧和前面没多大区别，也就是极阳道提升后，身体硬功更强了，更能抗了。 他不知道这个改造需要多久，但反正阴气够多，尝试一下能否用阴气加速进度也行。
CH0161+CH0162,reversal,个档次。 “如果现在的我再面对白僵……”路胜稍微对比了下，眼神眯了眯。“顶多比他强出一点。”心头又多出了一丝紧迫，他快步走向萧府大门，正巧又迎面走进来几个气质不凡的中年人。 这几人中的带头者一见他，便连忙抱拳。 “鄙人黄秋元，见过路帮主。”,crisis,的一个窈窕身影。 天色阴沉，但那个身影缓缓走近，却让红坊主脸上不由自主的浮现出温柔之色。 “樱樱，你没事就好……”她快步走近，然后一把搂住伞女，一动不动。 伞女也浑身颤抖着，满心欣喜。但一想到之前路胜的约定，她没来由的，心中就闪过一丝阴霾。
CH0163+CH0164,crisis,个特效的具体效果解释。 “极度的活化，让自身的细胞，血液变得具有超强吞噬性和侵略性。能抵抗绝大部分病毒细菌，因为超强的活性，对毒素也有极强的抗性。若是为其他生物注入或者吞噬，将会引发极其严重的排斥反应。同时对内气也会有极大程度的活化影响。”,crisis,覆盖了巴掌大小面积。 然后血瘤处又长出两条血线，朝徐吹双臂延伸。 一股强大到比他以前不知道多少倍的力量，在其体内翻滚涌动。 校场中，两人僵持不动，徐吹被路胜一掌打在胸口，却仿佛黏在他手上，悬在半空一动不动。 两人周围，无数红色烟气环绕旋转。
CH0165+CH0166,crisis,细考虑下我们这些老家伙的以后吧？”张武牙摆摆手。“要是再这么下去，整个武盟怕是都要分崩离析。那些世家子没有盟主，根本没法压服。” “管念的绿意队呢？” “被查出叛徒后，便解散了。”张武牙摇头。 “解散？怎么可能！”房间门外又传来第三个声音。,crisis,武盟！” 几道绿影飞掠而来，手里各自拿着钢叉和长刀长剑。赫然是盟内职守的世家子弟。 但这些子弟一看到半空的红坊主，顿时面色剧变，丢下武器转身就想跑。显然看出了她身份。 嘭！！！ 楼阁前的地面被砸出一个数米宽的大坑。 红坊主缓缓从坑中站起身。
CH0167+CH0168,open,代谢之类的强大丹药，来加速度过蜕变期。虽然这样的丹药往往都会有副作用，但对路胜而言并不在乎。他修习养生功集成的阴阳玉鹤宝瓶气，如今已经隐约感受到，自己会比常人活得更久。 回到帮中，路胜迅速回到书房，从书柜后面的暗格里，翻出李顺溪送的宝药图。,crisis,你了。”路胜提着他，转过身，缓缓朝来路走去。手里提着的老者拼命挣扎着，但无论怎么催动功力打在路胜身上，都无济于事。 黑暗里射来一道道骇人的视线，原本都贪婪的盯着走进来的路胜，此时看到老者瞬间被擒，那些视线顿时如同受惊的兔子，转眼便消失分散。
CH0169+CH0170,reversal,虎门，里面的高手全部抓起来送到监牢。注意，只要高手，内家高手。”路胜叮嘱。 “是！”徐吹沉声应道。 他上次回来后，便已经彻底掌管飞鹰堂了。以他普通状态的实力，应对山虎门的高手就已经足够，更别说还有隐藏底牌。 现在的徐吹也能当做是个天元来用。,crisis,直到现在伞女还无法忘怀。 有多久没有看到姐姐这么狼狈了？ 樱樱低下头，心中再度浮现起想要离开的念头。 她不想让姐姐这么辛苦，心游会的力量慢慢在朝这里追来。他们躲不了多久，就算重建了红坊，利用那本法决密册建起隐匿法阵，他们依旧无法躲避心游会。
CH0171+CH0172,reversal,这么紧要的关头，红坊主不闭关调整状态，应付大敌，为何非要四处搜索毁掉红坊的人？这不合情理。”他眉头微蹙起来。 “难道说，她根本不是在找人，而是在借着找人之名，找其他的什么东西？又或者是我毁掉的红坊里，少了什么重要的物事。所以她才四处寻找。”,question, 这样的不劳而获，比起辛苦打坐苦修，要爽快太多了。 “路帮主……！”这老者面色一变，还未来得及说话。 嘭！ 一道闪电般影子出现在她身侧，一掌拍在他后心处。 大量宝瓶气涌入他体内，构建阴鹤网，然后吸取反馈他本身内气修为。 一切进行得有条不紊。
CH0173+CH0174,crisis,他缓缓起身，胖得全是层层叠叠肥肉的脸上，露出一个怪异而残忍的笑容。 “居然让人闯到了这里来……” 肉龙庞大的身躯足足有两米多高，站起身来就像是一座移动的肥肉山，两只粗壮的脚掌嘭嘭落在地面上，整个宴会厅都在微微颤动。 嘿嘿嘿嘿！！他狞笑起来。,question,养生内气有着很好的延年益寿功效。 所以他打算尝试给未婚妻清理下体内隐患，回头再回去给路全安等家人清理。 但内气刚一进入陈芸熙体内，路胜原本笑盈盈的眼神瞬间变了。 一丝诡异气息！ 他居然从陈芸熙体内，感受到一丝极其隐蔽的，和红坊主相似的气息！
CH0175+CH0176,question,里闪过一丝饥渴。 “姐姐……小心……”伞女小声叮嘱。 “放心吧，除了那几人外，偌大北地谁能威胁到我？你只要保护好自己就行！”红坊主伸出手，贴在粗糙冰冷的小城墙面上。 无声无息间，小城墙面上边融化出一个硕大的窟窿。这些墙壁其实都是用冰层做成。,crisis,同最辣的辣椒，刺鼻辛辣，直入肺部。 “开始吧。” 路胜提起蜥蜴，仰头。 四脚龙被他抓在掌心，狠狠一捏，顿时噗的一下化为一大团血肉，红色浆液从他手指缝间滴落下来，落进他张开的大嘴里。 大量的血不断滴入路胜口中。他身上的体温也开始迅速攀升起来。
CH0177+CH0178,crisis,四溅。四人似乎组成一个奇异的阵型，将红坊主和伞女包围在其中，不断高速挪移着，不时的冲上去挡下红坊主的任何突围之举。 伞女在一旁看得焦急万分，但又插不上手，这参战的四人，最弱都是七纹顶峰的力量，她上去连黑膜也打不破，除了拖后腿外没有任何用处。,crisis,路胜，但都被他精准无比的一一挡住。 轰！！ 红坊主眨眼被一刀拍中头部，整个人飞出去滚出老远。 叶凌墨在半空中，全力格挡了一下路胜的斩刀。 铛！！ 一道银线般横斩，他的双手利爪瞬间断裂，身体快要拦腰折断一般，狠狠砸落在河里。 巨大的水浪溅起。
CH0179+CH0180,crisis,体内部喷涌出。 “最强！？”路胜从石壁上，将自己拔出来，“不，我才是，我才是最强！！” 唰！！ 几乎是同一时间，两人同时消失，如同两道极光，猛然对撞。 没有惊天动地的爆炸声，赤红和无形的火焰相互纠缠着，路胜和红坊主的交手，远比之前剧烈得多。,question,体型不大的白虎，而伞女樱樱，是某种类似人类的种族。 路胜照例上前搜刮了一阵，从红坊主身上找出了一本书。 一本很小，很精致，只有指甲盖大小的黑色书册。 “这东西……”路胜眯了眯眼，还是将其塞进黑包里。 这书上边倒是有阴气了，而且不是一般的浓。
CH0181+CH0182,crisis,不信他这副模样，这家伙可是连无忧府六纹主祭都敢捡尸体的狠角色，若真是表面这般乖巧听话，她还真不放心让其坐镇北地。 这北地她呆了这么久，还真把这里当作自己的地盘了。这里没人打扰，资源充足，要什么有什么。还远离了家族的斗争漩涡。简直不要太舒服。,crisis,……都可以……”樱樱难得的说出一句流畅话。看得出她说得很认真。 怪异到底是什么，路胜一直心有疑惑，但作为鬼物妖魔的樱樱和红坊主还活着，或许可以从她们身上得到答案。 这也是他没有第二次下杀手的关键。 还有他一直想要弄清楚的，阴气的源头和成分。
CH0183+CH0184,reversal,的标记着是一个多月前发出的。而纸上内容却是让他微微眯眼起来。 看完内容，他轻轻将信纸放在桌上，手指指节不急不缓的在上边敲动。 窗外明亮的白色天光照进来，正好落在淡黄的信纸上，映照出上面的一行字。 “环佩城舵主叶红南，失联十三天，下落不明。”,crisis,上，一动不动。 除此之外，屋内再没有第二人。 “救命……救命！！”忽然石屋外又传来阵阵脚步声。 一个浑身泥水的落难人跌跌撞撞的冲进院落，看到亮着灯的正堂，顿时大喜，赶紧冲过去。 吱呀…… 木门开了又关闭。 “讲个笑话吧。”声音再度传出窗外。
