stage,chapter_id,title,sig_count,reward_signals_clean,hook_type,hook_tail_quote
Stage6,CH0655,第654章 感悟（二）,8,突破 晋升 提升 推演 融合 强化 得到 奖励,crisis,答应你。不过卓振宇必须放弃我卓家的所有继承权。你可以当他是儿子，但法律上和卓家的亲属关系，必须断掉！” “否则，你知道我的手段，我要让你们父子过不下去，有的是手段。而且，一个野种而已，就算死在什么地方角落也不会有人知道。” 卓司庆低头闭上眼，双手抹了把脸。 “好。我答应你。小宇不会和卓家有任何关系，但他永远是我儿子。”
Stage6,CH0695,第694章 迁徙（二）,7,突破 晋升 提升 推演 融合 成功 得到,reward,施肥决：第九层。（特质：万物滋养，肥沃灵光。文明跃迁。）” 三种特质路胜都瞬间便明白其中的作用和用途，都是用在外物周围环境上的。 对自己的提升几乎没有。 “以此为基础，推演一次，希望能融入我所拥有的全部降临精华。” 他心头沉凝，缓缓点下修改器修改按钮。 另外，他也想看看，寄神力到底能不能代替轮回之灵，直接提升功决境界。
Stage6,CH0542,第541章 生命（一）,7,突破 晋升 提升 推演 强化 成功 得到,crisis,现了领主级狼王？你觉醒得真不是时候……不过还是要祝贺你。”远远的一头高五米多的庞大犀牛，在黄色的烟雾里朝这里望了一眼，然后转身回转自己的地盘。 “地龙犀牛王……”白灰嘴唇哆嗦着，这些都是平日里连毒龙使者见到了都只能瑟瑟发抖的强悍存在，此时居然一个个的主动上门祝贺自己的王。 恐惧担忧和巨大的自豪骄傲感在他胸膛里不断冲突。
Stage6,CH0569,第568章 扩散（二）,6,突破 提升 融合 强化 成功 得到,reward,的都做了。已经约定好了卓林毕业后就一起登记结婚。 “这趟倒好，一出来就连找老婆都省了……”路胜哭笑不得，记忆里的于莎，对卓林不是一般的好。 卓林相貌俊美，身材修长，但个性冷峻，不喜欢和人多接触。 于莎容貌勉强算清秀，身材也颇为诱人，但她学历不行，很早便辍学外出打工，每月工资都用来资助卓林学业，对卓林可谓是全心全意付出。
Stage6,CH0541,第540章 隐秘（二）,6,提升 推演 融合 强化 成功 得到,crisis,态，都代表着对寒霜之力的更高级的开发和利用。 “玄水神纹在大阴也能使用，那么是不是意味着，寒霜神纹也能在大阴使用？”路胜忽然想到这点。 “我想我明白该怎么做了……” 他沉默了下，看着视野里的深蓝界面方框。 视线凝聚在寒霜之力修习法上。有了图谱上提供的各种寒霜之力的运用路线方式。他完全可以融合后，形成自己独有的强大图谱。
Stage6,CH0553,第552章 兵主（二）,6,突破 提升 推演 融合 成功 得到,crisis,为自然法则的不同甚至矛盾冲突，一股力量能够原封不动不打折扣的释放出，就算是不错了。 但就是这样，他也很满足了。 半神百首魔狼的三分之一力量，使出的末日吐息，威力绝对已经有他本体全力出手同级的强度。 最重要的是，这是额外的一道力量，不消耗本体。 他完全可以在激战的瞬间，本体全力出手的同时陡然用出。这相当于杀伤力增加一倍！
Stage6,CH0574,第573章 认证（一）,6,突破 提升 推演 融合 强化 得到,crisis,，感情是我等族人最大的阻碍。拥有了感情，你的刀已经不再如曾经那么锋利了……” 身为杀手家族白家的第三排位者，世界顶尖的星辉杀手。白狮在发现了自己大女儿沉沦进爱情后，便断然决定前来进行家族处决。 “杀手，是不该有爱情的……我们葬送了一切，才能换来极致的技艺。才能……不被永恒的黑暗彻底吞没……”白狮眼底闪过一丝深沉的悲哀。
Stage6,CH0581,第580章 筹划（二）,6,提升 推演 融合 强化 成功 得到,crisis,牲三名特种精英，重伤十六人，才勉强将你抓捕归案。84年成功逃狱，在望城制造骇人听闻的血腥惨案，越狱期间伪装身份，在短短两年时日里，前后袭杀，吃掉了七十多人的肝脏。”一个看起来身材匀称，相貌英俊，但气质阴郁的年轻男子，在两个老狱卒的带领下，缓缓走到牢房前，一边说着老巴克年轻时候的辉煌往事。 这人正是才从白金城离开的路胜。
Stage6,CH0604,第603章 血之心（一）,6,突破 提升 推演 强化 成功 得到,crisis,走过来，他也在安排下面的弟子迅速安顿进这片地下宫殿群。 虽然这里已经是破烂废墟了，但好歹也是传承了那么多年的祖地。他心里伤感之余，还是颇为高兴。 “只是在想，宗主现在怎么样了……”端木婉轻声回答。“他安排好了一切，却唯独没有透露自己的行踪。” “小胜不会有事的，我相信他。”六山子笑了笑。“地面上的路府那边安顿好了吧？”
Stage6,CH0645,第644章 触动（二）,6,突破 提升 推演 强化 成功 得到,crisis,樱咽喉处的皮在隆起，似乎有什么细长的东西想要从那里钻出来。 同时无以计数的红色小肉粒迅速蔓延到手上，似乎还想顺着爬到路胜这边。 路胜猛地起身，环顾四周，梅姨不见了，他此时居然已经不在之前的宅院里，而是在一处荒废破旧的废弃花园里。 周围一片死寂，没有护卫，没有侍女，就只有赵盛樱端坐在对面，木然的盯着他，仿佛盯着一具死人。
Stage6,CH0589,第588章 收获（二）,5,突破 提升 融合 强化 成功,reward,间，另外成功率也大幅度提升，而且他们也不是完全沉浸入降临，还要管理大阴的各种事务。” “再加上他们每降临一个世界，都不能保证绝对成功完成因果。” “而我不同，我每个世界都几乎百分百的保证了绝对的成功率。正好，现在来看看这趟降临后的收获。” 他心头微动，嘴巴张开，尖细的舌头缓缓伸出，卷开，露出里面包裹着的一块白金色方块。
Stage6,CH0662,第661章 迷境（一）,5,突破 晋升 提升 成功 得到,reward,力便开始发生新的变化。 神魂总量再度开始增加，质量也有了不同提升。 路胜知道，这就是所谓的迷境变化了。从兵主到迷境，是从星球内到星际之间的过渡升华。 自然不会是瞬间完成。 而且因为他心相世界里的其他规则大多都接近了徽记程度。整个世界越发完善起来，恍惚看起来，就和外界世界没多大区别。 这就导致他的心相世界的结构极其稳固。
Stage7,CH0712,第711章 格局（一）,6,突破 晋升 提升 推演 强化 成功,reward,材料，成本不高……” 商人在下面滔滔不绝的汇报情况。 路胜却是缓缓从口鼻里喷出一股紫色的纯净魔力烟雾。 他来到这处地方已经好几年了，也成功突破到了七级法师层次。 信不过再往后他也没继续突破了。 而是依靠现在掌握的法术，开始深挖模型，同时利用深蓝不断推演。 在他看来，更高的施法法术，不过是三级之内所有术法的延伸强化运用。
Stage7,CH0866,第865章 再次（一）,6,突破 晋升 提升 推演 强化 得到,reward,桌上的果汁轻轻抿了口。同时间精神力以手上的第六器官为中心，猛地朝着四面八方狂扫而去。 他的精神力似乎有沾染到了自己所化之风的特性，隐蔽力超强。 庞大的精神力一瞬间便如同蛛网般，覆盖了整个密斯卡大学。 整个学校学区，所有的一切，学生，导师，教授，甚至院长们，的一举一动，路胜都了如指掌。 唯独三处地方。他的精神力无法触及。
Stage7,CH0709,第708章 苦修（二）,6,提升 推演 强化 成功 得到 奖励,question,红色元素。 “一个包一发，放完就需要重新充能么？”路胜瞬间明白了深蓝的解决办法。 他看了看自己胸口，想象着自己到时候对付敌人时，应该怎么放。 “这个压根就是把法术修改成了功法了啊……”路胜彻底无奈了。 推演一个法术就是一个包，那他推演十个法术，那不就是十个包？ 一百个法术难道就是一百个包？？！ 而且胸口长肉包什么的……
Stage7,CH0710,第709章 独立（一）,5,突破 提升 推演 成功 得到,reversal,龙存活，能继续安稳繁衍下去，应该就能轻松满足因果需求。” 这个世界因为有神，太过锋芒毕露，不利于隐藏身份，更有可能惹来不知实力有多强的强大对手。 在不知道世界上限的时候。 路胜不打算疯狂壮大七彩龙，而只是选择隐藏身份实力，到处收集寄神力，同时在七彩龙面对关键时机时，出手帮一把就行。 “收拾好了么？”洞外传来莎莉的声音。
Stage7,CH0786,第785章 斗殴（一）,5,提升 推演 特效 强化 得到,reversal,这个正派大派名头还是颇为响亮的，也有足够大的份量。 这样的名字拿出去，也足以震慑一些日常琐碎的麻烦和宵小。一些牛鬼蛇神土匪恶霸之类，如果一个不小心搞到了正式弟子头上，那就只能等着回头被这些名门正派高手们行侠仗义了。 所以此时听到这师弟说出事了，居然还有人敢在这叶山剑派的地盘里，和叶山剑派的门人起冲突。 这就十分奇怪了。
Stage7,CH0713,第712章 格局（二）,5,突破 提升 推演 强化 成功,crisis,能站起来。”路胜眼中的欣赏之意更浓了。 “你……到底是谁！！？”金发女子惊怒交加的盯着路胜。她不相信，区区一头幼龙就能有这么强大的实力？ “我？”路胜停下脚步。“很久以前，有人称呼我魔影。拳帝魔影。” “拳……帝！！？” 金发女子心头一颤，这个世界没有这种称呼外号，但光光只是听到这个名词，她也能体会出其中的霸道和杀意。
Stage7,CH0717,第716章 筹划（二）,5,突破 提升 推演 成功 得到,crisis,这一次如果再吃头深渊领主，或许…… 其实原本他是想袭杀半神强者，这类强者拥有神性，但没有点燃神火，更没有神格。就算偷偷吃几个，也不会引起整个神系的警觉。 但后来在发觉了半神和各大神系之间千丝万缕的联系后，路胜便转而看向了深渊。 如果能够彻底解放他本体的实力，那么他完全有可能利用心相世界吃掉整个深渊，获得无法想象的利益。
Stage7,CH0790,第789章 突变（一）,5,突破 提升 推演 强化 得到,crisis,对眼前这个号称不断血洗七山武盟大派的绝世高手，两人连带着身后弟子都感觉心惊胆战。 一些胆子小的更是浑身乏力，握着剑柄的手已经满是汗水。 “拜山，试剑，可以开始了吧？”王侯忠略微有些不耐烦。 他虽然碍于某人的面子，耐着性子给予了叶山剑派这么大的尊重，但这已经是他能够给出的极限了。他的时间很宝贵，可不是拿来站在这里浪费的。
Stage7,CH0812,第811章 初试（一）,5,突破 提升 强化 成功 奖励,crisis,被子弹打烂的伤口在一团血水的包裹中，迅速蠕动，愈合。 他双眼里透出一丝人性化的眼神，左右扫视了一眼周围，又动作飞快的朝着其他方向的警员分队扑去。 “祭品……需要更多！更多！！” 很快，又是两个不敢进林子深处的警员纷纷传来短促惨叫，枪声惊动了其余在外围巡逻的警员。 有人惊恐的想逃，但很快便被黑熊追上，几下扑杀便没了声音。
Stage7,CH0899,第898章 追踪（二）,5,提升 推演 强化 成功 得到,crisis,。 嘭！！！ 金光化为无数金色花纹，如同蛛网般覆盖在路胜全身上下。 路胜整个人骤然崩碎，化为无数金色光点，身后三面长尾的庞大黑影一闪即逝。 吼！！！ 恐怖的低吼声缓缓震荡开，冥罗庞大之极的强悍气息泄露了一丝，随即便急速涌入另一个空间，消失不见。 光点渐渐淡化消散。 只剩下所有紫晶花海，如同海底珊瑚般缓缓飘摇，美不胜收。
Stage7,CH0913,第912章 朱雀（二）,5,突破 提升 推演 成功 得到,crisis, “说起来前辈能否说说，那朱雀火鸟到底所犯何事？”路胜好奇道。 “那孩子不知天高地厚，居然屠了巫族的一个大巫部落……”雨萱叹息道。 嘭！！ 路胜顿时大惊，一掌狠狠拍在面前桌案上。 “什么！居然如此胆大妄为！屠了一个巫族？！” 他大惊失色，站起身左右踱了几圈。 “前辈放心，如此干系，晚辈必定助你将其捉拿归案！以儆效尤！”
Stage7,CH0916,第915章 南明长生录（一）,5,提升 推演 融合 特效 强化,crisis,本体也有巨大好处时，路胜便已经想到会有这么一刻。 但此时当这一刻真正到来时，他才感觉心里空落落的。 “那么多啊……那么多的寄神力……居然全用完了……”他伸出双手。 整个手臂上全部都凝结了一层厚厚的灰色石壳。 这是死气热流凝聚而成的灰色物质。只是因为太多太多了，导致整个洞穴也有些装不下，甚至到最后只能粘在他毛孔皮肤表面。
Stage8,CH1109,第1108章 平视（二）,6,突破 提升 推演 融合 强化 得到,crisis,角也碰不到。 连续又是数拳打在一个位置。终于，咔嚓一声，巨剑掉落在地。被路胜一把捡起来抓在手里。 “无声暗杀剑。”路胜捏住剑刃边缘，一手紧握剑柄，迎着扑来的白骑士刹那间一剑挥出。 哧！ 无声无息间，剑刃带着细微的颤动，诡异的避开扑击，狠狠切入白骑士胸膛的铠甲中。 巨剑几乎切进去了三分之一宽度，暗红的血水从铠甲缝隙渗出。
Stage8,CH0979,第978章 通灵本质（二）,5,提升 推演 强化 成功 得到,reward,。 但有总比没有好。 不知道有多少通灵人组织，修行的功法压根就没有一个能成就降神者。 有没有降神者，这是区分中型势力和大型势力最主要的区别。 “移山化灵功一共八层，每修成一层，完成一次魂力质变，同时魂力总量提升为原本的两倍。” 路胜感受了下肉身，还行，之前的基础很牢，在第七的滋养下，负荷没问题。 “先来个几层试试看。”
Stage8,CH0989,第988章 幕后（二）,5,突破 提升 推演 强化 得到,reward,宇宙。 而且所谓的宇宙意识，也不会是针对他一个，而应该是针对他们这一个群体。 宇宙意识按照天魔界的分析，应该是模糊化的，是大面积的影响干涉。 就像人不能自由的控制自己身体内的每一个细胞一样。 他们顶多能做锻炼，来引导自己的身体，从整个大方向上得到提升强化。 而不是某个内脏发生病变，我要控制这个部分，调集免疫系统消灭它。
Stage8,CH1168,第1167章 下落（一）,5,突破 提升 融合 成功 得到,reward,料。一切都不用担心。” “是吗……？这样我就放心了……”狄恩微微放下了一点担忧。 毕竟英雄联会不光有A级英雄，还有最强的十位S级。虽然英雄不是听命于联会，但他们有太多办法撬动英雄们的力量了。 “对了，上次您让我帮忙寻找的两个人。我前些天，得到了一点线索。”狄恩忽然又道。 “恩？”路胜一怔，他在四大神教没有得到任何信息。
Stage8,CH0943,第942章 秘密（二）,5,突破 提升 融合 成功 得到,crisis,到了太阳星宫内弥漫而出的庞大寄神力气息。 他如今本体和朱雀圣体融合，在邪神界世界源力的作用下，浑然一体，实力大增。 但依旧没有超脱出冥罗御主这个境界层次。若是仔细算起来，他应该是冥罗中强得变态的那个层面。 对于这点，路胜并不满意，特别是在得知冥罗之上还有死星层次之后，他便更加迫切的想要提升自我。 要提升，寄神力不能少。
Stage8,CH0999,第998章 极限（二）,5,突破 提升 融合 成功 得到,crisis,秘籍，全部都只是提到冥罗，其余就再没有后续了。 路胜自己很清楚，他虽然外形狰狞，但本质上，依旧还是不折不扣的人族。灵魂上的成分就是这个。 也就是说，他也极有可能会出现所谓的生灵极限，种群极限。 而现在他的冥罗神魂，已经相当于一般同级别的数千倍之巨，可还是没办法突破质变。 这或许也变相的表明了这点，人族都是有生灵极限的。
Stage8,CH1016,第1015章 扩散（一）,5,突破 提升 强化 上交 统管,crisis,量从腿部，腰部，再到右拳，尽数集中到一点。狠狠打在青年双掌上。 嘭！！！ 白安义的拳头只感觉接触到了薄薄的一层膜，然后波的一下，就破掉了。 然后就听到一阵咔嚓噼啪的断裂声。 “大……大哥！！？？大哥你怎么啦！！你醒醒啊大哥！！” 数秒钟后，别墅里传出一声惊恐的悲呼。 “大哥你的胸骨怎么碎了！！？？天呐，快来人救命！！”
Stage8,CH1139,第1138章 融合与万物（二）,5,突破 提升 推演 融合 成功,crisis,如今，已经到了无论如何隐藏都没用的地步。 “时机，差不多了……”他这半年来，也不是什么都没做。 未见之手给了他太多的可能和灵感。 而随着段位不断提升的同时，另一个能力幻灭之躯，也让他真正将自身连同本体的全部一切，融合为一。 那种灰雾之力，便是将一切融合的纽带。 可惜的是，这个世界，快要终结了。他也没有时间再继续推演了。
Stage8,CH1192,第1191章 谋划（一）,5,突破 融合 强化 成功 得到,crisis,正朝我们发难……”若琳带着一丝忧虑道。 “仅凭现在的钢铁姐妹会，自然不是他们的对手，不过，如果我们能真正的得到混沌魔氏族的支持呢？”路胜微笑起来。 这才是他真正的目的。 他开发的数学网，水银之血，都是为了这个目的服务。 水银之血能够将人改造成最适合接引混沌魔反虚空生物的体质。 所以只要他真正放开限制，大量召唤混沌魔……
Stage8,CH1005,第1004章 平和（二）,5,突破 推演 融合 得到 大帝,question,。”他笑着打趣道。 嘭。 路胜一巴掌打得他抬不起头。 “没大没小！老大的事情是你能随便谈论的吗？” 班赛苦着脸赶紧站起身躲远点。 “算了，给我安排去这三处的飞船，订好时间通知我。你们嫂子有自己的事业，不跟我回来，没事正好去散散心。” 路胜一直在外宇宙乱晃，很少在天魔界本地活动，这趟出去散散心也好。看看能不能捞点寄神力。
Stage8,CH1114,第1113章 新教（一）,5,提升 推演 融合 强化 得到,question,。 “否则会被下降人种阶层，到最后，会彻底沦为奴隶被人贩卖。如果连买你的人也没有，那么你就会被拉去做肉猪。”杰克逊平淡道，但语气里依旧隐隐流露出一丝厌恶和愤怒。 说到底，他还是个才三十岁的年轻男人，一个有良知的正常人。 “这个制度简直就是罪恶！”一旁的卡菲忍不住愤怒道。“已经彻底将人最后的自尊尊严全都抛掉！简直混蛋！”
Stage8,CH0933,第932章 角力（二）,4,融合 强化 成功 得到,reward,其中混沌平衡，才能将其吸收炼化。 只是这样的效率极低，也就是说，路胜苦修打磨消耗十万个单位的朱雀神火和邪神力，才能勉强炼化一个单位的世界源力。 只是对他而言，只要能撬动，对于深蓝，唯一的问题就是寄神力的多少而已。 按照他的判断预估，这世界源力，恐怕就是和这方宇宙中的鸿蒙紫气一样的强大能量。 不赶紧拿到，那就真的浪费了。
