chapter_id,title,hook_type_guess,hook_tail_quote
CH0067,第67章 选择（一）,reversal,本就是为了找更强者学习交流，他公孙张兰什么时候打算和我打一场，倒是遂我的意了。”路胜毫不在乎。 “你果真和其他人不同……”老帮主洪明资笑道，“路兄弟实力非凡，我听欧阳长老他们说起过了。不过大家都是一个帮的，抬头不见低头见，没必要弄得这么僵。” “既然老帮主发话，若是和那公孙张兰动手，我便给他留点颜面好了。”路胜随意道。
CH0068,第68章 选择（二）,reversal,代师收徒。 其实洪明资也想过是否要自己收徒，可和路胜交过手之后，感觉两人之间功力相差不太大，他才心中感慨，知道以自己的实力，要当路胜师傅还是有些勉强了。 但看着这一位良才美玉，他又担心其以后又会为了其他武学离开赤鲸帮。 路胜能够因为武学加入赤鲸帮，一旦以后遇到更强武功，未尝不会因此离开。 所以他便想来想去，想出这一招。
CH0069,第69章 融合（一）,crisis,，撞翻身后数名壮汉，在地上滑出十多米，才缓缓停下。 连惨叫都没来得及发出声，她整个人便奄奄一息，躺在地上嘴里不断冒着血。 路胜站在原地，看了眼公孙静一起的两侧壮汉，这几人吓得浑身一抖，赶紧让开低头。 “公孙张兰那老家伙老是避开不和我打，这下看他还有什么理由龟缩不出！” 一阵大笑后，路胜带着段蒙安宁三一众人骑马扬长而去。
CH0070,第70章 融合（二）,reversal,气，全部被转化成了新内功的内气，其内气总量，在体内激荡不已，雄浑异常。 “既然是融合了两者特点，那么新功法就叫，阴阳玉鹤功吧。”路胜迅速给其命名。 新的阴阳玉鹤功，已经远远不是以前玉鹤功那种低级养生功，而是提升成了路胜也无法预料效果的高级养生功。 融合了多门内功的优点特色，这门新内功刚刚转化完毕，便让路胜感觉到了不同。
CH0071,第71章 约战（一）,reversal,乎九成的硬功，都要特制的药汤药丸辅助，而没有这方面的技术，路胜根本不敢将这等关系自家修为性命的关键，交给他人处理。就算是赤阳丹，他也找过医者询问成分。之后还拿兔子尝试过。 所以所有需要辅助药材的硬功都被他略掉。 硬功只有两个书架，一共十五本册子，这便是赤鲸帮收集的全部积累，其中通力境到通意境的都有，但更上的凝神就没了。
CH0072,第72章 约战（二）,crisis,上一踩，一股巨大的力道以他为中心，朝着身后船体蔓延出去，坚硬的甲板一瞬间仿佛泛起波浪涟漪。 他整个人如同炮弹飞射出去，双眼闪动兴奋的火花，轰然朝着前方沙滩射去。 那里，站着的公孙张兰后撤躬身，双掌虚合，浑身须发浮动，一股股肌肉筋膜不断发出弓弦般闷响，汇聚大量内劲在双掌之上。 他望着急速射来的路胜，眼底流露出冰冷的杀意。
CH0073,第73章 约战（三）,crisis,了不止一倍。 巨大的力量带动刀刃爆发出震耳欲聋的空气炸裂声。 路胜这一刀，比起之前的所有刀招，强到几乎不像是一个人使的。 公孙张兰只感觉眼皮一片针刺般疼痛，刀刃太快，以至于在他眼中只留下一道残影。 来不及多想，他本能的抬枪挡在身前，枪尖抖动出朵朵枪花。 轰！！！ 刀枪撞击，发出的不是金属交击，而是内劲剧烈的爆炸震荡声。
CH0074,第74章 约战（四）,crisis,。 “是，老大。”宁三赶紧恭敬道，见识了路胜发狂般打死公孙张兰，他对自家老大的敬仰又更一步提升。不过不知不觉间，他又把称呼改成了老大而不是公子。 “说了多少遍，叫我公子！”路胜顿时不满了。 “是是是……公子……”宁三脑门有点冒汗。 一旁的边宿两人面色怪异，想笑但怎么也不敢笑。 路胜懒得搭理几人，下了船去找老帮主两人了。
CH0075,第75章 家事（一）,reversal,青脸肿走出去也是丢人不是？ “城里分舵里有名有姓的大力士都叫过来了，可大伙都不行了……”段蒙安无奈诉苦道。 路胜也有些不爽，他修习这个九江铁索功已经半个月了，但还是没真正入门。 这门硬功走的是用钝器大力捶打身躯的路子。刚开始找来不少大力士捶打身体，效果好像还行，但现在还差一点入门练到入门时，却发现所谓的大力士不够用了。
CH0076,第76章 家事（二）,question,争风吃醋。反正不是安静的主儿，到了这沿山城居然没动静，也让路胜颇为意外。 “巧儿倒是听过五小姐的事……”巧儿有些迟疑道。 “她现在怎么样？我记得家里也给她安排了一间书店作为收入生活吧？”路胜问。 “是……巧儿前不久去买香料时，还在旧唐园那边的街面上见过五小姐。”巧儿声音越来越小，“当时看到她和一个书生公子走在一起……”
CH0077,第77章 家事（三）,crisis,非是婴儿，否则成年人哪里能那么容易杜绝杂念，澄空内心。 可让路胜想不到的是，宋振国端坐下来不过半炷香功夫，居然真的安安静静入了定。 虽然这养生功入门很容易，号称一天就能有气感，但这入定速度未免也太快了吧？ 要知道一旦入了定，很快就容易有气感。 “路师，我感觉有一股细线在胸腹处来回循环自然流动。”刚想完，宋振国便开口了。
CH0078,第78章 家事（四）,reversal,而是转移话题。 “天色不早了，我们最好找个地方休息一晚，不然就在这荒郊野外，夜晚的寒露可不是闹着玩的。” “恩，赵叔你看那里，是不是有个村子？”路全安忽然朝着远处右侧指了指。 赵伯跟着望过去，只见墨绿色的山峦之间，官道边上，孤零零的有着一片土墙平房，似乎是个村落。只是看起来有些荒凉破落。 “过去看看，花点钱借助一宿。”
CH0079,第79章 古村（一）,reversal,振翅欲飞的凤凰。 “……”路胜心头瞬间卧槽了下。 无数似曾相似的画面在脑海中不断飞掠，但那些画面里都是男的向女的求婚，而让他没想到的是，陈芸熙这么一个大美女，居然主动到这个份上，专门定制了这么一枚精致的白玉扳指，向他求亲。 心头无奈了下，路胜还是冷静下来。 “抱歉，我给不了你想要的生活。”他轻轻将首饰盒合上，推了回去。
CH0080,第80章 古村（二）,reversal,恐惧。他心跳得厉害，但怎么也止不住双腿，缓缓朝着那人靠近过去。 “你……你到底……” 哧！ 灯火缓缓被点燃，亮起淡黄色光亮。 “尘心？尘心？” 土屋内路天洋缓缓放下手里的打火石，借着油灯灯光看了看土屋内，天色都微微亮了，路尘心居然没在屋子里。 “这小子，又跑到哪去了？难不成是偷偷和秀秀胡搞了？”他揉了揉眼睛，打个呵欠。
CH0081,第81章 麻烦（一）,question,安等车马缓缓驶离后，快到正午时分时，这官道边的村子又迎来一个客人。 灰蒙蒙的天色下，一匹通体没有杂色的黑马，缓步走进小村子。 马上骑着一名气质温和，面带微笑的年轻公子。 “就是这里吗？”这公子脸上微笑不变，仿佛僵硬了一般，始终一个模样。 他一身青衫，手无寸铁，身上也没有悬挂任何兵刃，只有腰间系了一块墨绿翡翠，简洁朴素。
CH0082,第82章 麻烦（二）,crisis,持不住，慢慢降低速度。 而前面官道上，路家的车队也远远浮现在视野中，里面人群似乎显得有些乱。 路胜松了口气，抖了抖缰绳，加快速度走过去。但还没走近，他一眼便看到，其中一辆马车上，居然挂着一个大红灯笼。 马车进出的车门上，挂着一个血红色的大灯笼，而透过车窗可以看到，里面隐约还挂了两个一样的红灯笼。 路胜的眼神一下凝固了。
CH0083,第83章 麻烦（三）,crisis,极心法产生的高热，很快便将丝带烫得收缩焦掉。 噗。他狠狠将丝带扯断，往前一个翻滚，远离车厢。 刚刚站起身，又是一个红灯笼撞上来。 嘭！ 路胜一口逆血涌上喉头，顺着嘴角流出来，他连退数步，周身热气滚滚，刀刃和双手都全是滚烫内气。 左右看看，还是没找到人。 “怎么？这就没招了？”他笑了起来，指着自己额头，“来，朝这儿打。”
CH0084,第84章 麻烦（四）,crisis,也不下马，他脸色极差，没半点血色，经过时老爹路全安他们还没看清楚是他，便很快消失在前面官道上。 一路上路胜又仔细观察了两侧，强撑着剧痛，确定了车队后面的路还算安全，一直到了沿山城，他安排帮众前去接应家中车队，才由玉莲子扶着进了城外的金玉花房。 这里现在已经成了路胜半个据点，还雇了工匠开始在这儿重新建一栋阁楼，方便休息。
CH0085,第85章 秘闻（一）,crisis,着，我可以用阴气代替消耗，直接提升武学！”路胜忽然想到这点，双眼一亮。 如果这个猜想真的能成真，那么就代表着阴气不光可以推演武学，还能用来直接提升武学境界。 “深蓝！”他迅速叫出修改器。 淡蓝色方框唰的一下出现在他眼前。 路胜视线迅速定位在了其中的赤极心法上。 “赤极心法：第五层，特效：强化火毒，双重震荡，强化引燃。”
CH0086,第86章 秘闻（二）,crisis,这就是武道的极致。但就算这样，也不可能。” “而达到这样的层次，师兄也曾猜测过，这拘力是不是力量实力达到一定程度后，自然而然产生的自然反应。但后来发现不是。”洪明资眯起眼睛，“这拘力，不光有毒性，还是一种隔绝保护力量，它就像是一层鸡蛋壳，将那些不死的存在包裹得严严实实，不打破它，甚至连伤都伤不到他们。更别说破不死身。”
CH0087,第87章 提升（一）,crisis,慨。 “希望这次善宝堂能有好收获吧。” 他这次出来，一部分是自己亲自买酒，出来活动下散散心。另一方面，是沿山城内的最大古玩店善宝堂，通知他有一批灰货刚到，请他前去挑选。 善宝堂是沿山城内一帮二会三门中涉林会的产业。 涉林会和赤鲸帮关系还行，在之前路胜便通知了他们，说自己想要一些从墓葬里发掘出来的物件，那边果断便留意了。
CH0088,第88章 提升（二）,crisis,晚可以将路尘心的尸首拉回来了，时间到了吧？”他忽然想起来问。 “到了。”玉莲子点头，不知道怎么的，他此刻看路胜，总感觉和之前比换了个人似的。 如果说之前像是猛兽一般让人感觉危险，那么此时的外首，气息更浑厚，厚重，给人一种更加稳固和山一般的沉静。 “那就先送到这儿来，我亲自送回去。”路胜吩咐。无论如何，家里都要一个交代。
CH0089,第89章 安排（一）,question,，又是入了赤日门，是他的师弟，为人个性也都有迹可循，洪明资有心提点，也很正常。 这是把他当真正的亲近之人对待。 “甄家不稳……若是真要做好打算，该怎么做？”路胜心中有些阴沉。 北地是甄家在扛着对抗怪异妖魔鬼怪的大旗，他们享有整个北地大量的资源供给，也为北地提供安定。 而一旦这个巨大的保护伞出问题，随之而来的麻烦就大了。
CH0090,第90章 安排（二）,crisis,理解了老爹的苦处。 九连城上次爆炸后，元气大伤，现在根本回复不过来，这让依附于九连城的路家元气大伤，再这样下去怕是要家道中落，所以他才下决心要搬迁。 “既然来了，就先定下来。老爹想好要入手哪一行了吗？”他细问。自己身为赤鲸帮高层，有权不用过期作废，自然能照顾家里的，就要尽量照顾。 “先看看吧，还没头绪。”路全安无奈道。
CH0091,第91章 姐妹（一）,crisis,被打得滚出去。 “外首，该用膳了。”宁三在一旁恭敬道。 “恩。”路胜点头，九江铁索功入门了，他打算一会儿回房，便开始直接用修改器修改这门硬功试试，有阴阳玉鹤功做底，应该问题不大。这种通力层次的外功，就算硬功消耗都大，但因为层次低，不大可能太变态。 他修习这个的目的，也是因为九江铁索功好歹也是防御武学，关键时刻可以保命。
CH0092,第92章 姐妹（二）,reversal,我们也不绕弯子了。”柳琴出声道。声音里带着一丝如释重负。 “原本一直以来，我们都以为只有我们能对付鬼魂，没想到现在，终于遇到路公子这般的高人！” 路胜听得云里雾里，莫名其妙。 “你们从头开始说说。我怎么越听越糊涂了？” “那好，我们给您从头说起。”柳琴认真道。 她仔细回忆起最开始的时候，眼里慢慢多了一丝温柔和一丝痛苦。
CH0093,第93章 身世（一）,reversal,够的药液辅助，消耗还是可以降低到短时间连续提升的地步。” 他仔细感受着皮肤表面和表层肌肉自然流转着的一丝丝酥麻感。这就是九江铁索功的内气，它不走内腑，而是就在皮肤和表层的肌肉里游动循环，形成一张如同铁索一样的缠绕在身体表面的网络，遇到外在打击时，特别是对钝器的防护，非常有效。 而熊搏手是对锐器的防护不错，两者正好结合。
CH0094,第94章 身世（二）,crisis,无语。 路胜笑着没回话，两人一路前行，很快出了兵器库，在侧面进了一个大房间。 房间四面都是石墙，中间摆了一个结实的木头人偶，上边扎捆了一些稻草谷杆。 “这是铿木，硬度很高，也坚韧，你试试。”段长老指着木头人偶道。“你要是能砍断，我倒贴你二十两！” 路胜握着两把杀猪刀，走到人偶面前，嘴角微微勾起一丝狰狞笑容。 “当真？”
CH0095,第95章 任务（一）,crisis,一招应该是某个连招里的一式，要知道，一个招式，是要包含能应付很多种情况的变招才行的。而你们偷学的只是一个变招而已，这是只适用于一些特殊情况才能用。”路胜微笑解释道。 “原来如此……”两姐妹顿时都露出恍然之色。一直以来，她们都感觉自己练习的招式有些问题，却不知道是什么地方出了问题。现在一听路胜解释，顿时都察觉了问题所在。
CH0096,第96章 任务（二）,crisis,意，放下刀，又朝着中央卧房走去。 当初他来这里时，那怪异小女孩便是一直住在主卧房里。这庄子里还养了尸魄和一大帮子鬼物。 现在被甄家人扫荡后，或许能找到一些阴气还没散掉的东西物事。 嘭的一脚，踹开主卧房木门，路胜缓步捂着鼻子躲避灰尘，走进卧房。 地上横七竖八的躺了不少空衣服，还有很多像是骨灰一样的灰白粉末，撒得到处都是。
CH0097,第97章 交易（一）,crisis,西，我才用扇的，没想到扇了三次你才动不了。” “你……到底是什么人！？”卓文宇咬牙切齿道。她不相信普通人会有能力将她从妖灵附体状态下打散出来。 “我就是个普通人，你倒是说说看你是什么人？这个什么灵妖附体是个什么玩意。”路胜第一次见到卓文宇这样的异类，感觉很有兴趣。 “你不知道我们？”卓文宇顿时一怔，满面带血不可思议道。
CH0098,第98章 交易（二）,crisis,念。 “是。” 对话框眨眼消失。 确定推演后，那种奇妙的感觉又出现了，路胜能够明显感觉到，在修改器里的所有方框中的武学，都可以进行推演融合。 他第一时间看向赤极心法。 “赤极心法：第七层。特效：血网。强化火毒，六重震荡，强化引燃。”后面果然多了一个可以推演的按钮。 深吸一口气，路胜满怀期待，意念在那个按钮上轻轻按下去。
CH0099,第99章 无忧王（一）,crisis,头醉死在酒坊。却没想到，遇到了之前一面之缘的路胜。 而更让他想不到的是，这个才和自己见过一次面的陌生人，居然丝毫没有送自己报官的意思，要知道他现在身体亏空，虚弱无比，又醉得浑身无力，若是真要报官，现在便是最好时机，抓起他直接去衙门就行，那里还贴着通缉他的海报公示。 可路胜居然没这么做，而是说有什么能帮得上忙的，尽管提。
CH0100,第100章 无忧王（二）,reward,冲抵消了，但路胜体内的所有内力，也终于彻底消耗干净了。 第八个瓷瓶捏在手里，他终究没有继续倒出来。 “七个瓷瓶的毒素，我都能完全抵抗住。快了……快了……还差一点点……”路胜心头有些澎湃，满头汗水。 估计再提升一层内功，他就能突破达到拘力层次。 这虽然是世家和怪异们最低的基础层次，但却是这个世界凡人和超凡之间最大的界限。
CH0101,第101章 逼近（一）,question,初自己给这东西定义的名字，实际上这股气息到底是什么，他也不知道。 两人在树下重新交换了下下次新的交易时间、地点，然后卓文宇匆匆离开。路胜也迅速朝着来路返回。 他需要再去一趟老帮主那里，必须仔细从洪明资那里询问清楚，最近甄家的情况到底如何。 最近红坊和甄家的局势越来越扑朔迷离。特别是甄家的动作似乎有些太安静了，有些不对。
CH0102,第102章 逼近（二）,reversal,消耗更大。 路胜打算，最好能先把保命效果很好的九江铁索功之类的硬功，提高到提无可提的顶点。 他打算将能找到的所有硬功，若是条件允许，全部融合为一体，推演出一门最强的硬功。 同时那些冲突性质的，最好是把能修炼的都修了。反正有修改器在身，硬功这种东西怎么叠加都可以。 只要有足够阴气，他就能源源不断的修成各式各样的不同硬功。
CH0103,第103章 逼近（三）,crisis,的行走。 因为距离远了看不清，渔民便有人好奇，靠近查看。却不想因此接连失踪了七八人。引得了当地乡绅的注意。在自己调查无果之下，乡绅迅速上报，层层传递，失踪的人越来越多，最后才到了沿山城。 “一般这类失踪事件性质，都是极其恶劣了才会传到沿山城，一般的案子，下面的人也都能自己处理。只有实在没办法才会层层上报。”宁三低声道。
CH0104,第104章 逼近（四）,crisis,都不敢上前。 路胜是帮中第三把交椅，实力强悍，性情狂暴，在船前就敢当着所有人的面打死副帮主的女儿了，也因此凶名远播。 匆匆推开小花园的铁门，路胜一眼便看到站在黄色灯笼下的洪明资。 这位当下的赤鲸帮帮主，赤日门门主，回过头两眼木然，整个人仿佛老了许多许多。 他开口的第一句话，便让路胜勃然变色。 “师弟，甄家……逃了……”
CH0105,第105章 混乱（一）,crisis, “不是没什么大火吗？怎么又有烧伤伤者了？可见有变化门的门主？”路胜又问。 “额……小的也不清楚，不过好像说是，召集令大火点燃后，不小心蔓延到了总部房屋。”那侍卫顿时停顿了下，小声道，“听说连门主在大火里被活活烧死……尸骨都分不清，和房屋木梁灰什么的混在一起，惨得不行……”他口音似乎不是本地沿山人，尾音带着浓浓的上翘。
CH0106,第106章 混乱（二）,reversal,子，这事就算一切顺利，王家也认账，可嫁过去后的芸熙，也必定因此遭受屈辱，加上又是妾室身份……日后的生活绝对艰难无比。 想到这，陈道早终究叹了口气。 “去吧，去吧，不过千万别意气用事……不要冲动，否则我陈家真的……”他叹气道，转身离开，不再多言。 陈芸熙看着父亲离开走出房门，她终于再也忍不住，蹲下身，眼泪顺着脸颊滑下来。
CH0107,第107章 混乱（三）,crisis,一群壮汉一拥而上，狠狠将大惊失色的王顺勇按倒在地，便是一顿毒打，沙锅大的拳头雨点般砸下去。 啊！啊啊！！！ 王顺勇当场被打倒在地，被一群壮汉轮着狂揍。 边上陈家陈道早和陈芸熙都看傻了，还有一众的家丁和护院，想要上去拉架，可对方分出几个人来，便将陈家所谓的高手压住。 通力层次的武师们一看这架势，更是头也不敢抬，默不作声。
CH0108,第108章 混乱（四）,crisis,问我，你自己处理就行。”路胜摆摆手随意道。 “是。”玉莲子无奈退下。最两人都没提总兵的背景。 对于现在的赤鲸帮来说，凡俗的力量，或许有点用，但比起红坊根本不值一提。 凝神级别的高手，一旦动手，没有强力军弩之类的大杀器，百八十人根本挡不住。更何况路胜这般的赤鲸帮大佬，手底下上千帮众，都是按照军事化训练，背后还有世家背景。
CH0109,第109章 蜕变（一）,crisis,也是点头：“大火燃起，就算是通力层次的高手，只要轻功不错，都能轻易冲出去，别说更强的通意和凝神层面了。除非围堵在密室内出不去，活活闷死还差不多。” “那不可能！”张远东摇头，“别人或许不清楚，但我曾和变化门主交过手，他身上暗藏了一把极锋利的利器短匕，就藏在其剑柄内，削金断铁轻而易举，有什么密室能挡得住这样的神兵利器？”
CH0110,第110章 蜕变（二）,crisis,起来很是结实，但却没了之前那种骇人听闻的肉山一般的非人感。 仿佛把一大坨肉硬生生挤压捏成一小块。 站在院子中央良久，路胜睁开眼，看着自己瘦下的双手，嘴角微微勾起。 嘭！！ 他猛地一捏手掌，五指瞬间捏爆空气，发出闷雷一般的炸响。 看着宛如金铁的双手，感受着身上远比之前强大太多太多的恐怖力量，路胜终于忍不住，仰天狂笑起来。
CH0111,第111章 恶意（一）,question,路胜心头一凛，若是甄家的事被传出去，朝廷的态度就难以确定了。 至于其他人，都不入眼，一概略过。 “哦，是赤鲸帮的路外首到了。”知府李真意微笑道，“来人，看座。” 路胜大踏步走进大堂，在左侧空出来的中间一张座椅上坐下。 他代表的是赤鲸帮，而赤鲸帮乃是北地黑灰两道的龙头，所以他的位置自然不会低。但也不会太高，毕竟不是官身。
CH0112,第112章 恶意（二）,open,精致肩甲几次放戴在他左肩，都滑了下来。 咔嚓！！ 第三次脆响，大殿门终于缓缓打开了…… 整个大殿上的众人如同被捏着喉咙一般，瞬间静寂无声。 嘻嘻嘻嘻…… 一阵女子尖锐怪异的笑声，从黑漆漆的门缝处传出来。 啪。 路胜伸手抓住司仪手掌，将火红色的肩甲，稳稳按在自己肩上。 看着门缝处缓缓踩进来的一只红鞋，他缓缓从宝座上起身。
CH0113,第113章 交手（一）,reversal,身边扶着他的是陈鹰，两人都不知道该用什么态度看待现在的路胜。 “现在，该怎么办？”陈鹰张了张嘴，望着路胜，勉强压住震动的心神，沉声问。 “外面可不止有这么一个鬼物。”路胜活动了下身体，转身朝着大门外走U去。 “走吧，出去看看。” 他双手按在大门上，狠狠一推。 隆…… 铁质的大门缓缓被推动，露出外面一片宽阔的灰褐色甲板。
CH0114,第114章 交手（二）,crisis,剩下一个个大小不一的坑洞。 内务使们迅速发挥作用，指挥众人整理现场。 路胜看着眼前的狼藉一片，心头若有所思。 “甄家既然放弃了我们，我们也不用讲什么仁义忠心，师兄，陈鹰，麻烦你们去安排下吧，明日我们去拜访城内的其他势力代表。重新打通一条路。” 在红坊一时间无法覆灭赤鲸的前提下，路胜为赤鲸帮争得了一份可能扭转局面的机会。
CH0115,第115章 转投（上）,question,笔法龙飞凤舞，苍劲有力，应该是大家所写。 “我先去红坊！”上阳九礼转身不等几人回话，便轻轻一跃，转眼便消失在亭外。 路胜视线才从石牌上挪开，便看不到上阳九礼的身影了。 “路帮主果真不凡。”上阳九礼一走，萧红叶便笑着对路胜道。“居然在什么都不清楚的情况下，做出了对赤鲸帮最好的选择。” “哦？萧员外何出此言？”路胜挑眉道。
CH0116,第116章 转投（下）,crisis,担任帮主之位了，但依旧是路胜师兄，赤日门高手，说话还是有很高的影响力。 “师兄所言极是，是该清点一下帮中情况。”路胜点头。 只等上阳九礼确定了红坊那边的情况，他便打算好好掌握整个赤鲸帮，处理善后之事，这趟虽然被错认成世家子弟血脉，但却得知了不少隐秘情报，他需要好好消化一下。 最珍贵的，便是对自己在世家子弟中的实力定位。
CH0117,第117章 平稳（一）,question,大笔钱，又开了不少店面，直接干起了药材生意。 北地正好不少药材货物囤积，能运出去的都是极少，价格暴跌，便被路家大量收购。而赤鲸帮需要药材缺口很大，路胜便暗中稍微分润了些生意给路家，算是发展不错。 路胜乘着马车在城中行进了一阵后，很快回到路府。 马上便有小厮上前迎接。 “大公子回来了啊！” “家主呢？”路胜下车随口问道。
CH0118,第118章 平稳（二）,crisis,时间，仿佛黑膜根本不存在一般，便被路胜用蛮力彻底破掉。没了黑膜，便没了不死身。 最重要的是，凌峰死就死了，可死得太快，以至于他们根本没看清楚路胜的底细，就完了。 “路帮主……当真是北地第一高手，嚯嚯嚯……”萧红叶怪笑几声，打破尴尬。 “这话说说就行，真要传出去不被笑掉大牙。”路胜谦虚道，收回手，在凌峰衣服上擦了擦污物。
CH0119,第119章 解决（一）,crisis,应有限，基本不外送，不过老弟自然和其他人不同，你我一见如故，这点小东西，不值一提。” “那便多谢老哥了。”路胜抱拳笑道。 他回想起当初看到的甄意，脑袋都被划开成两块，居然还不死，还能恢复。又联想起之前见到的伞女和凌峰。 他交手过的拘层次的对手，只有三个，但前两者都近乎不死。凌峰却是一下便被干掉，他也有些摸不清其中规律。
CH0120,第120章 解决（二）,crisis,别说普通鬼物。稍微小心些，纵横北地应该没问题。 “既然帮主亲自出手，必定马到成功。”玉莲子松了口气。“这案子，我看到时也有些犹豫，不知道该划分到哪一级。” “给我看看。”路胜淡淡道。 玉莲子上前，很快在案台上找出了一份折叠好的黄纸，轻轻展开。 路胜接过来看了看，纸面上开头的三个词，顿时印入眼中。 “茶帮，药师，琉璃镜”
CH0121,第121章 琉璃镜（一）,crisis,。地址是东六街圣茗坊。” “是。”徐吹应道，赶着马车一边侧目数着街边建筑物上的路径牌号。 没走出多远，两人拐了两次街道，便看到有戴着白色头巾的精瘦汉子迎上来。 “敢问可是赤鲸帮使者大驾？”一个国字脸的汉子上前恭声问。 “你们是？”徐吹问。 “我们是茶帮董琪大小姐派来迎接上使的专人，还请上使往这边走。”这汉子笑脸相迎道。
CH0122,第122章 琉璃镜（二）,crisis,，帮里大部分人都隐隐只听药师的了，现在形势变得极其诡异，她好不容易利用职权，派人给赤鲸帮送了信。 就这等情形下，自然不可能有药师房间的钥匙。 “那就等那人来了来。”路胜自然不会只听董琪的一面之词，这种调查，自然是要多方考证才行。否则万一董琪也有问题，栽赃陷害药师或者帮中其他人，他不考证就直接动手，那不是完全弄错对象了。
CH0123,第123章 镜子（一）,question,或许，凶多吉少了吧……”董琪小口小口的喘着气，就算是重新回忆那梦的内容，也感觉呼吸困难。 “走，回去看看那镜子。”路胜站起身，将茶水一饮而尽。 三人一起朝书房方向走去。 书房门口董琪安排了两个汉子守着，不让任何人靠近。看到他们过来，两人赶紧点头哈腰的凑上来。 “上使，大小姐，你们来了啊，东西就在里面，绝对没人进去过。”
CH0124,第124章 镜子（二）,crisis,屠灵！！” 轰隆！！ 刀刃再度砸在镜子里的那只手臂上，发出巨响，手臂咔嚓一下当场折断，镜面嘭的一下碎裂被砸穿，整个上百斤的镜子底座腾空到飞起来，狠狠撞在后面墙上。 大量炽热内气涌入镜座，一道幽蓝影子立马从镜面被砸飞出来，在半空中惨叫一声，想朝外逃窜。 但马上被路胜当空一刀追上去。 噗嗤！ 影子彻底炸开，消失得无影无踪。
CH0125,第125章 镜子（三）,crisis,清的稻田里的？” 那声音低沉着一次次问。 “我……我只是想有人陪我玩……”一个怯生生，柔柔弱弱的女孩声音慢慢响起。 “进去吧……进了这面镜子，就会永远有人陪你玩了。”那声音低沉中带着一丝诱惑。 轰！！！ 刹那间一大团红光炸开，路胜周围方圆十数米，彻底化为一片火海。大量稻草堆被点燃，火焰噼啪燃烧起来，浓烟滚滚，灰屑乱飞。
CH0126,第126章 镜子（四）,reward,一千两白银，在前世时换算出来就是一百万人民币。 “果然搞茶的都是富得流油。”路胜很清楚，越是这样的乡下小地方，天高皇帝远，可以抠的利润远比管辖得严苛的大城多得多。像这般不出名但有钱的帮派，在北地都不在少数，更别说其余地区。 特别是茶帮还背靠飞廉军，军中也有监察司高手，算是白风老道的统辖，安全性上不比赤鲸帮这边的商路差。
CH0127,第127章 交易（一）,reversal,祭，必定不会出任何意外。” “这个自然。”萧红叶附和道。 “好了，萧使者你下去吧，东西放下，你的意思，我知道了。”主祭淡淡道。 “多谢主祭。”萧红叶赶紧低头弯腰行了一礼，然后将东西交给黑老，这才缓缓离开。 等到他出了正堂，不多时离开大门外。 白静才扭头看向主祭。 “大人，这萧红叶还是很识体嘛，我们一来便主动上门交权。”
CH0128,第128章 交易（二）,reward,物怪异，但已经有了逃生本钱。不会如以前那般命运交由他人。 “横竖不过是几千斤粮食，我要换这门千树焚心掌。应该正好和我的赤极心法相性相合。”路胜将册子还给李顺溪。 “其实还有功夫可以提供，不过这几门算是最便宜的，其余很多都需要严苛的修习条件。”李顺溪回道，“既然如此，那么我们约好时间地点，到期交换。” “好！”路胜点头。
CH0129,第129章 交易（三）,crisis,隐隐泛起朱砂般通红色，笔直走向老人。 “哦？原来是当代赤鲸帮主亲至。”那驼背老人似乎感应到了什么眼神终于微变，正色看向路胜。 “来之前便听说路帮主一身玄功威猛无敌，乃北地第一高手，今日倒是想见识见识。” “等我打死你，就不会再想见识了。”路胜手臂急速膨胀起来，破心掌力被赤极九煞功的内气催运，周围迅速萦绕起丝丝灼烧内气。
CH0130,第130章 交易（四）,crisis,匹，几乎敢说是前无古人后无来者，毫无破绽。 这等情况下，赤极九煞功多余的内气也只能在其体内不断挤压越来越多，越来越厚。 巨大的压力使得路胜浑身血管慢慢鼓起，如同一根根青紫色钢索缠在身上。 剧烈的痛苦让路胜双目睁大，浑身发颤。汗水大片大片的渗出又迅速蒸发。 他两侧太阳穴上的肌肉，此时居然也慢慢鼓起来，如同突出的两只犄角。
CH0131,第131章 交易（五）,crisis,势力都能堂而皇之的上位掌权，血派世家们还有什么事做不出来？”那陈大哥正色握拳道。 “总会有契机的。”秦无面微微摇头。“不过赤鲸帮内我们武盟的那位老前辈，顺溪你这趟去是否见到了？” 李顺溪微微点头：“见到了，那位前辈没和我说话，只是给了我一个圆筒，让我回来再打开。” 他缓缓从袖中，将一个拳头粗细的竹筒取出来，递给秦无面。
CH0132,第132章 交易（六）,reward,学修为上。 “硬功是容器，内力是容器中的水，内气液化后，只有不断增强增大容器，才能容纳更多更强的内气。我必须未雨绸缪，先行收集硬功起来。以防以后液化内气也容纳不下时，身体无法得到提升。再度出现修为停滞情况。” “准备完毕。” “准备完毕！” “准备完毕！” 牛车边上的帮众此时纷纷出声，路胜见状，缓缓扬起手。 “出发！”
CH0133,第133章 交易（七）,crisis,念有词，仔细的盯着路胜身上每一处的非人变化。 “你是说，此人，是靠的武功？！用武功把一个地域使活活砍死？？！”钟云袖在一旁不敢置信道。 “此人才是天才！古今往来没有人能超越的最强天才！！这世上居然真的能有人将如此多的硬功全部推演至大成！！？哈哈哈哈！！武道有望！武道有望！！”张武牙几乎有些手舞足蹈起来。兴奋得无以复加。
